id_vertex; team; skill
0; 1; PSC
1; 1; PSDB
2; 1; PMDB
3; 1; PSB
4; 0; PRB
5; 1; PP
6; 1; PSC
7; 0; PTN
8; 1; PMDB
9; 1; PP
10; 1; PT
11; 0; PTB
12; 1; PRB
13; 1; PRB
14; 1; PMDB
15; 1; PTB
16; 1; PMDB
17; 1; PPS
18; 0; PT
19; 1; PT
20; 1; PP
21; 1; PDT
22; 1; PSOL
23; 1; DEM
24; 1; PTB
25; 1; PSDB
26; 1; PMDB
27; 1; DEM
28; 1; PSDB
29; 1; PSB
30; 0; SOLIDARIED
31; 1; PTB
32; 1; PP
33; 1; PMDB
34; 1; PT
35; 1; PSB
36; 1; PSD
37; 1; PP
38; 1; PMDB
39; 1; PSDB
40; 1; PP
41; 1; PP
42; 1; PMDB
43; 1; PPS
44; 1; PSD
45; 1; PMDB
46; 1; PSB
47; 1; SOLIDARIED
48; 1; PT
49; 1; PMDB
50; 1; PR
51; 1; SOLIDARIED
52; 1; PT
53; 1; PR
54; 1; PPS
55; 0; PR
56; 1; PCDOB
57; 1; PCDOB
58; 1; PMDB
59; 1; PMDB
60; 1; PSD
61; 1; DEM
62; 1; PROS
63; 1; PSD
64; 1; PT
65; 1; PT
66; 0; PDT
67; 1; PT
68; 0; SOLIDARIED
69; 0; PSOL
70; 1; PTB
71; 1; PMDB
72; 1; PMDB
73; 1; PV
74; 1; PMDB
75; 1; PROS
76; 1; PSDB
77; 1; PP
78; 1; PP
79; 1; PMDB
80; 1; PSDB
81; 1; PSC
82; 1; PSD
83; 1; PT
84; 1; PSDB
85; 1; PT
86; 1; PTB
87; 0; PROS
88; 1; PROS
89; 1; PSD
90; 0; PTB
91; 1; PTB
92; 1; PSDB
93; 0; PSD
94; 1; PTB
95; 0; PSDB
96; 1; PT
97; 1; PP
98; 1; PMDB
99; 1; PT
100; 0; PT
101; 1; PR
102; 1; PSC
103; 1; PP
104; 1; PP
105; 1; PT
106; 1; DEM
107; 1; PT
108; 1; PSB
109; 0; DEM
110; 1; PDT
111; 1; PSDB
112; 1; PTB
113; 1; DEM
114; 1; PSB
115; 0; PMDB
116; 0; PDT
117; 0; PSC
118; 1; PCDOB
119; 0; PTB
120; 1; DEM
121; 1; DEM
122; 0; PR
123; 1; PROS
124; 1; PSDB
125; 1; PT
126; 1; PSD
127; 0; PR
128; 1; PSDB
129; 1; DEM
130; 0; PSDB
131; 1; PSD
132; 1; PT
133; 0; DEM
134; 1; PMDB
135; -; -
136; 1; PP
137; 1; PMDB
138; 1; PMDB
139; 1; PSB
140; 1; PR
141; 0; PMDB
142; -; -
143; 1; PP
144; 1; PCDOB
145; 1; PMDB
146; 0; PROS
147; 0; PDT
148; 1; PV
149; 1; PSD
150; 1; DEM
151; 0; PSC
152; 0; PP
153; 1; PSB
154; 1; PP
155; 0; PTB
156; 0; PMDB
157; 0; PSB
158; 0; PSC
159; 0; PCDOB
160; 1; PMDB
161; 0; PMDB
162; 1; PT
163; 0; PMDB
164; 1; PRB
165; -; -
166; 0; PRB
167; 1; PMDB
168; 1; PT
169; 0; PR
170; 1; PMDB
171; 1; PMDB
172; 1; PP
173; 1; PT
174; 1; PT
175; 1; PROS
176; 0; PDT
177; 1; PSOL
178; 1; PP
179; 1; PSB
180; 1; PCDOB
181; 1; PT
182; 0; PR
183; 1; PRB
184; 1; PSB
185; 1; PSDB
186; 1; PSD
187; 0; PPS
188; 0; PSDB
189; 1; PT
190; 0; PMDB
191; 0; PMDB
