id_vertex; team; skill
0; 1; PE
1; 0; DF
2; 0; CE
3; 1; RR
4; 1; SP
5; 0; PI
6; 0; PA
7; 1; BA
8; -; -
9; 1; RJ
10; 1; SP
11; 1; SP
12; 0; SP
13; 1; SP
14; 1; SP
15; 0; PR
16; 1; PR
17; 0; PR
18; 1; RS
19; 0; RS
20; 0; RS
21; 0; SP
22; 0; SP
23; 1; SP
24; 0; SP
25; 1; RJ
26; 0; DF
27; 0; SP
28; 0; MG
29; -; -
30; 0; DF
31; 0; GO
32; 1; GO
33; 0; RS
34; 0; RJ
35; 0; MA
36; -; -
37; 0; PR
38; -; -
39; 0; PR
40; 1; PR
41; 0; PR
42; 0; SC
43; 0; SP
44; 0; BA
45; 1; MT
46; 1; RS
47; 0; AP
48; 0; PA
49; 0; PA
50; 1; SC
51; 0; RJ
52; 0; PB
53; 1; PB
54; 0; PB
55; 0; PE
56; -; -
57; 1; BA
58; 1; BA
59; -; -
60; 1; PA
61; 1; AM
62; 0; AM
63; 0; CE
64; 1; BA
65; 0; MG
66; 1; MG
67; -; -
68; 1; MG
69; 1; ES
70; 1; RJ
71; 0; RJ
72; 1; RJ
73; -; -
74; 0; MA
75; 0; CE
76; 0; ES
77; 0; RJ
78; 1; RJ
79; 0; SP
80; 0; SP
81; 0; SP
82; 0; SP
83; 0; SP
84; 1; SP
85; 1; CE
86; 1; CE
87; 0; CE
88; 1; PI
89; 0; PI
90; 0; PA
91; 0; PA
92; 0; AM
93; 0; RO
94; 0; GO
95; 1; GO
96; 0; GO
97; 1; MS
98; 1; MS
99; 1; PR
100; -; -
101; 0; PR
102; -; -
103; -; -
104; 1; RS
105; 0; RS
106; 1; RS
107; 0; PE
108; 0; PE
109; 1; PE
110; 0; MA
111; 1; MA
112; 0; CE
113; 0; PI
114; -; -
115; 0; PB
116; 0; PB
117; 1; PE
118; 0; BA
119; 0; BA
120; 0; BA
121; 0; BA
122; 1; AL
123; 0; BA
124; 1; BA
125; 0; MG
126; 0; MG
127; 0; MG
128; 0; MG
129; 0; MG
130; 1; RJ
131; 0; RJ
132; 0; MG
133; -; -
134; 1; MG
135; 0; MG
136; 1; MG
137; 1; SP
138; 1; SP
139; 1; GO
140; 0; RJ
141; 0; RJ
142; 0; RJ
143; 0; RJ
144; 1; RJ
145; 1; TO
146; 1; SP
147; 1; PE
148; 0; MG
149; 0; BA
150; 0; RJ
151; -; -
152; 0; PI
153; 0; BA
154; 0; BA
155; 0; AP
156; 1; MA
157; 0; SP
158; 0; TO
159; 1; SP
160; -; -
161; 1; CE
162; 0; RS
163; 0; MG
164; 1; CE
165; 1; PE
166; 0; RS
167; 0; SP
168; 1; PR
169; 0; RS
170; 0; MG
171; -; -
172; 1; PA
173; 1; RS
174; 1; TO
175; 0; MG
176; 0; PA
177; 0; MG
178; 0; SP
179; 0; SE
180; -; -
181; 0; RJ
182; 0; PE
183; 0; SP
184; 0; MT
185; 0; SC
186; 1; MA
187; 0; MS
188; 0; MA
189; 1; SC
190; 0; RR
191; -; -
192; 0; PB
193; 0; MG
194; 0; RN
195; 0; RN
196; 0; RJ
197; 0; PE
198; 0; AC
199; 0; RJ
200; 1; CE
201; -; -
202; 0; RS
203; 1; RJ
204; 0; PR
205; 1; BA
206; 1; CE
207; 0; CE
208; 0; SP
209; 0; DF
210; 1; TO
211; 0; MG
212; 0; RO
213; 1; PA
214; 0; RS
215; -; -
216; 0; SP
217; 0; PB
218; 0; MG
219; 1; MG
220; 1; SC
221; 0; MG
222; 0; RJ
223; 0; MG
224; 0; CE
225; 0; SP
226; 0; RS
227; 0; BA
228; 0; MG
229; 0; RN
230; 0; PB
231; 0; RS
232; 1; MT
233; 0; SP
234; 1; SP
235; -; -
236; 0; ES
237; 0; SP
238; 1; CE
239; 1; GO
240; 1; MG
241; -; -
242; 0; MT
243; 1; BA
244; 0; SE
245; 1; PI
246; 0; RJ
247; 1; SP
248; 1; PI
249; 0; MG
250; 1; DF
251; 0; BA
252; 1; SC
253; 1; MG
254; 0; RJ
255; 0; RJ
256; 1; SC
257; 0; ES
258; 1; MG
259; 1; PB
260; 0; BA
261; 1; RR
262; 0; SP
263; 0; RS
264; 0; SC
265; 0; RS
266; 1; AL
267; 0; SE
268; 0; SP
269; 0; PE
270; 0; RS
271; 1; BA
272; 1; MG
273; 0; SP
274; 0; RS
275; 0; SP
276; -; -
277; -; -
278; 0; RS
279; 0; BA
280; 1; RS
281; 0; SC
282; 1; PE
283; 0; PR
284; 1; DF
285; 1; TO
286; 0; PR
287; 1; MA
288; 1; MG
289; 0; SP
290; 0; AP
291; -; -
292; 1; GO
293; 1; GO
294; 0; MG
295; -; -
296; 0; SP
297; 0; PA
298; 0; SC
299; 1; RS
300; 0; BA
301; 1; MG
302; 1; AC
303; 0; GO
304; 0; BA
305; 0; RJ
306; 0; PR
307; 0; SP
308; 1; PE
309; 1; MT
310; -; -
311; 0; MG
312; 0; MS
313; 1; PB
314; 1; DF
315; 0; TO
316; 0; MG
317; 0; AP
318; 0; PE
319; 1; ES
320; 0; PR
321; 0; SC
322; 1; SC
323; 0; PE
324; -; -
325; 0; MG
326; 1; SP
327; 0; SP
328; 0; SP
329; 0; PR
330; 0; PE
331; 1; BA
332; 1; SP
333; -; -
334; 1; RJ
335; 1; RS
336; 0; PB
337; 0; BA
338; 0; RJ
339; 0; MG
340; 0; SP
341; 1; PR
342; 1; RS
343; 0; RJ
344; 0; GO
345; 0; SC
346; 0; MT
347; 0; GO
348; 0; MA
349; -; -
350; 1; RO
351; -; -
352; 0; AL
353; 1; MG
354; 1; SE
355; 1; MG
356; 0; RJ
357; 0; AC
358; 1; SP
359; 0; ES
360; 0; SP
361; 1; SP
362; 0; SP
363; 1; AP
364; 1; PR
365; 0; RJ
366; 1; BA
367; 1; RS
368; 1; AC
369; 1; AC
370; 0; AC
371; -; -
372; -; -
373; 0; AL
374; 0; AL
375; 1; AL
376; 0; AL
377; -; -
378; 1; AM
379; 0; AM
380; 0; AM
381; 0; AM
382; 1; AM
383; -; -
384; 1; AP
385; 1; BA
386; 0; BA
387; 0; BA
388; 0; BA
389; 0; BA
390; 0; BA
391; 1; BA
392; 0; BA
393; 1; BA
394; 0; BA
395; 0; BA
396; -; -
397; 0; CE
398; 1; CE
399; 0; CE
400; 0; CE
401; 0; CE
402; 0; DF
403; 0; ES
404; 0; ES
405; 0; ES
406; 1; ES
407; 0; GO
408; 0; GO
409; 0; GO
410; 0; GO
411; 0; GO
412; 0; GO
413; 0; MA
414; 0; MA
415; 0; MA
416; 0; MA
417; 0; MA
418; 0; MA
419; 1; MA
420; 0; MA
421; 1; MA
422; 1; MG
423; 0; MG
424; 0; MG
425; 0; MG
426; 1; MG
427; 0; MG
428; 0; MG
429; 1; MG
430; 0; MG
431; 0; MS
432; 0; MS
433; 1; MS
434; 0; MT
435; 0; MT
436; 0; MT
437; 1; PA
438; 1; PA
439; 0; PA
440; 0; PA
441; 1; PA
442; 0; PA
443; -; -
444; 1; PB
445; 1; PE
446; 0; PE
447; 0; PE
448; 0; PE
449; 1; PE
450; 0; PE
451; 1; PE
452; 0; PE
453; 0; PE
454; 0; PI
455; 0; PR
456; 1; PR
457; 1; PR
458; 1; PR
459; 0; PR
460; 1; PR
461; 1; PR
462; 0; PR
463; -; -
464; 1; RJ
465; 0; RJ
466; 0; RJ
467; 0; RJ
468; 1; RJ
469; 0; RJ
470; -; -
471; -; -
472; 1; RJ
473; 0; RJ
474; 1; RJ
475; 1; RJ
476; 1; RN
477; 1; RN
478; 1; RN
479; 0; RN
480; 0; RN
481; 0; RO
482; 1; RO
483; 1; RO
484; 0; RO
485; 0; RR
486; 1; RR
487; 0; RR
488; 1; RR
489; 0; RR
490; 1; RS
491; 0; RS
492; 0; RS
493; 0; RS
494; 0; SC
495; 0; SC
496; 0; SE
497; 1; SE
498; 0; SE
499; 1; SE
500; 0; SP
501; 0; SP
502; 0; SP
503; 1; SP
504; 0; SP
505; 0; SP
506; 1; SP
507; 0; SP
508; 0; SP
509; 1; SP
510; 1; SP
511; 0; SP
512; 1; SP
513; 0; SP
514; 0; SP
515; 0; SP
516; 1; SP
517; 0; SP
518; 1; SP
519; 0; SP
520; 0; TO
521; 0; TO
522; 1; AP
523; 0; CE
524; 0; MG
525; 1; MG
526; 1; MG
527; 1; RJ
528; 0; MS
529; 1; MG
530; 1; PI
531; 1; RJ
532; 0; PI
533; 1; RJ
534; 0; SC
535; -; -
536; 0; RJ
537; -; -
538; 0; BA
539; -; -
540; -; -
541; -; -
542; -; -
543; -; -
